Tabla de incidencias BSLA,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Number,Title,Descripción,Severity,Locación,Total,,,,,,,,,,,,,,
1,Detención por Percance Cierre de vía,Fue un desvió de ruta por cierre de vía,BAJA,"BSAR,BSCO,BSCR,BSR,BSMX",1,,,,,,,,,,,,,,
2,Incidencia de Unidad ,La mayoría de las incidencias derivan con fallas mecánicas y algunas por unidades fuera de línea,ALTA,"BSAR,BSCO,BSCR,BSR,BSMX",16,,,,,,,,,,,,,,
3,Detención No Autorizada,Reportes por resguardo en sitios no autorizados ,MEDIA,"BSAR,BSCO,BSCR,BSR,BSMX",7,,,,,,,,,,,,,,
4,Incidencia Línea/Operador ,N/A,BAJA,"BSAR,BSCO,BSCR,BSR,BSMX",2,,,,,,,,,,,,,,
5,Neumático Dañado,Reporte por ponchaduras,MEDIA,"BSAR,BSCO,BSCR,BSR,BSMX",8,,,,,,,,,,,,,,
6,Desvió de Ruta No Autorizado,N/A,MEDIA,"BSAR,BSCO,BSCR,BSR,BSMX",8,,,,,,,,,,,,,,
7,Separación de Convoy,N/A,MEDIA,"BSAR,BSCO,BSCR,BSR,BSMX",7,,,,,,,,,,,,,,
8,Reinicio de Ruta No Autorizado,N/A,BAJA,"BSAR,BSCO,BSCR,BSR,BSMX",2,,,,,,,,,,,,,,
9,Incidencia de Robo de Caja,No se presentaron reportes,BAJA,"BSAR,BSCO,BSCR,BSR,BSMX",0,,,,,,,,,,,,,,
10,Incidencia de Robo de Custodia ,No se presentaron reportes,BAJA,"BSAR,BSCO,BSCR,BSR,BSMX",0,,,,,,,,,,,,,,
,,,,CONTEO TOTAL DE LAS INCIDENCIAS DEL FEBRERO,51,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
